bottle_id,pushed_by_ai,classification,timestamp
1,False,OK,1763907604.6084206
1,False,OK,1763907604.8209949
2,False,OK,1763907610.8637247
2,False,OK,1763907610.9310086
3,False,OK,1763907615.902805
3,False,OK,1763907616.1110039
4,False,OK,1763907620.072682
4,False,OK,1763907620.1672618
5,False,OK,1763907624.070187
5,True,NOK,1763907624.1630235
6,False,OK,1763907628.6879926
6,False,OK,1763907628.8495874
7,True,NOK,1763907633.131169
7,False,OK,1763907633.272074
8,True,NOK,1763907637.3490026
8,False,OK,1763907637.383202
9,False,OK,1763907641.4759026
9,False,OK,1763907641.6578062
10,True,NOK,1763907645.9194317
10,True,NOK,1763907645.979454
11,True,NOK,1763907649.455194
11,True,NOK,1763907649.590232
12,False,OK,1763907653.219509
12,False,OK,1763907653.3134322
13,False,OK,1763907657.0272691
13,False,OK,1763907657.1859503
14,False,OK,1763907659.926019
14,False,OK,1763907660.0985653
15,True,NOK,1763907663.8029428
15,True,NOK,1763907664.0163085
16,False,OK,1763907668.4735618
16,False,OK,1763907668.6524518
17,False,OK,1763907672.4187636
17,False,OK,1763907672.4561722
18,False,OK,1763907676.4642887
18,False,OK,1763907676.6788287
19,False,OK,1763907681.7939653
19,False,OK,1763907681.9316962
20,False,OK,1763907689.0934942
20,False,OK,1763907689.5646222
21,False,OK,1763907697.931009
21,False,OK,1763907698.0788755
22,False,OK,1763907708.528769
22,False,OK,1763907708.6652935
23,False,OK,1763907715.980444
23,False,OK,1763907716.504565
24,False,OK,1763907724.7574499
24,False,OK,1763907724.8896375
25,False,OK,1763907731.6467993
25,False,OK,1763907732.092647
26,False,OK,1763907739.6387007
26,False,OK,1763907740.0459208
27,False,OK,1763907749.3916836
27,False,OK,1763907749.8882303
28,False,OK,1763907760.150931
28,False,OK,1763907760.4677966
29,False,OK,1763907772.1887903
29,False,OK,1763907772.675912
30,False,OK,1763907795.7820313
30,False,OK,1763907796.5129828
31,False,OK,1763907801.6924388
31,False,OK,1763907801.765514
32,False,OK,1763907809.650002
32,False,OK,1763907809.752768
33,False,OK,1763907819.8743675
33,False,OK,1763907820.5166852
34,False,OK,1763907831.3114293
34,False,OK,1763907831.4372032
35,False,OK,1763907839.739699
35,False,OK,1763907840.249142
36,False,OK,1763907848.8920832
36,False,OK,1763907849.0560794
37,False,OK,1763907859.1487315
37,False,OK,1763907859.2756262
38,False,OK,1763907869.2658656
38,False,OK,1763907869.4476774
39,False,OK,1763907877.9811969
39,False,OK,1763907878.2110603
40,False,OK,1763907893.449367
40,False,OK,1763907893.7228434
41,False,OK,1763907905.204858
41,False,OK,1763907905.338773
42,False,OK,1763907919.0129871
42,False,OK,1763907919.824623
43,False,OK,1763907935.1885111
43,False,OK,1763907935.3978796
44,False,OK,1763907949.914095
44,False,OK,1763907950.0759072
45,False,OK,1763907960.5037959
45,False,OK,1763907960.6278038
46,True,NOK,1763907970.3407383
46,True,NOK,1763907970.533546
47,False,OK,1763907977.775304
47,True,NOK,1763907977.9154074
48,False,OK,1763907987.9591436
48,False,OK,1763907988.409948
49,False,OK,1763908000.2158642
49,False,OK,1763908001.1244516
50,False,OK,1763908018.0714068
50,False,OK,1763908018.1931062
51,False,OK,1763908027.9210112
51,False,OK,1763908028.1970177
52,False,OK,1763908036.142439
52,False,OK,1763908036.3390095
53,False,OK,1763908042.165519
53,False,OK,1763908042.3829587
54,False,OK,1763908048.3556073
54,False,OK,1763908048.3684857
55,False,OK,1763908056.5152276
55,False,OK,1763908056.6847646
56,False,OK,1763908066.4492755
56,False,OK,1763908066.8972137
57,False,OK,1763908079.1546383
57,False,OK,1763908079.3133051
58,False,OK,1763908089.219524
58,False,OK,1763908089.945017
59,False,OK,1763908099.0678573
59,False,OK,1763908099.14075
60,True,NOK,1763908106.2076328
60,True,NOK,1763908106.2966435
61,False,OK,1763908112.85632
61,False,OK,1763908112.9497797
62,False,OK,1763908119.1050396
62,True,NOK,1763908119.4447558
63,False,OK,1763908126.8486612
63,False,OK,1763908127.0917869
64,False,OK,1763908137.4469259
64,False,OK,1763908137.6624744
65,False,OK,1763908145.511675
65,True,NOK,1763908145.7253895
66,False,OK,1763908158.6416674
66,False,OK,1763908158.859805
67,False,OK,1763908165.7022302
67,False,OK,1763908165.85934
68,False,OK,1763908173.5633216
68,False,OK,1763908173.7129343
69,True,NOK,1763908180.3971725
69,False,OK,1763908180.5064225
70,False,OK,1763908186.905323
70,False,OK,1763908187.0710602
71,False,OK,1763908192.2991254
71,False,OK,1763908192.4254842
72,False,OK,1763908197.072167
72,False,OK,1763908197.2112458
73,False,OK,1763908202.5343642
73,False,OK,1763908202.6900952
74,False,OK,1763908207.1793716
74,False,OK,1763908207.2754261
75,False,OK,1763908212.192526
75,False,OK,1763908212.3191018
76,False,OK,1763908216.8615806
76,False,OK,1763908217.0542898
77,False,OK,1763908222.6719086
77,False,OK,1763908222.8800058
78,False,OK,1763908228.2794006
78,False,OK,1763908228.4119878
79,False,OK,1763908233.2432473
79,False,OK,1763908233.3737254
80,False,OK,1763908241.8570747
80,False,OK,1763908242.119338
81,False,OK,1763908250.402979
81,False,OK,1763908250.4832087
82,False,OK,1763908256.869055
82,False,OK,1763908257.2242718
83,False,OK,1763908264.6396692
83,False,OK,1763908265.025015
84,False,OK,1763908276.1367843
84,False,OK,1763908276.3550317
85,False,OK,1763908287.8127744
85,False,OK,1763908288.238967
86,False,OK,1763908298.977781
86,True,NOK,1763908299.4960563
87,False,OK,1763908310.458139
87,False,OK,1763908310.579623
88,False,OK,1763908323.2678697
88,False,OK,1763908323.3635185
89,False,OK,1763908336.1098602
89,False,OK,1763908336.6956077
90,False,OK,1763908345.649298
90,False,OK,1763908346.1350465
91,False,OK,1763908353.5994768
91,False,OK,1763908354.0572617
92,False,OK,1763908361.3386023
92,False,OK,1763908361.479743
93,False,OK,1763908374.7530005
93,False,OK,1763908375.0914938
94,False,OK,1763908387.0288348
94,False,OK,1763908387.4195137
95,False,OK,1763908396.3734093
95,False,OK,1763908396.5147743
96,False,OK,1763908406.4320836
96,False,OK,1763908406.6369352
97,False,OK,1763908417.4969199
97,False,OK,1763908418.2772632
98,False,OK,1763908430.353066
98,False,OK,1763908430.447716
99,False,OK,1763908439.120381
99,False,OK,1763908439.2546077
100,False,OK,1763908446.9547892
100,False,OK,1763908447.093596
101,False,OK,1763908456.5652342
101,False,OK,1763908457.4837174
102,False,OK,1763908465.2587993
102,False,OK,1763908465.7160223
103,False,OK,1763908473.5079784
103,False,OK,1763908473.6291637
104,False,OK,1763908480.834354
104,False,OK,1763908480.98597
105,False,OK,1763908488.2510924
105,False,OK,1763908488.6281977
106,False,OK,1763908497.1721528
106,False,OK,1763908497.3104498
107,False,OK,1763908510.2555625
107,False,OK,1763908510.4542134
108,False,OK,1763908522.5580275
108,False,OK,1763908522.7385323
109,False,OK,1763908535.4761112
109,False,OK,1763908535.9283748
110,False,OK,1763908544.794563
110,True,NOK,1763908545.1698167
111,False,OK,1763908555.8188403
111,False,OK,1763908556.027111
112,False,OK,1763908563.888382
112,False,OK,1763908564.0410147
113,False,OK,1763908570.9197266
113,False,OK,1763908571.0995204
114,False,OK,1763908578.8718405
114,True,NOK,1763908579.044064
115,False,OK,1763908587.8852618
115,False,OK,1763908588.0132961
116,True,NOK,1763908593.495342
116,True,NOK,1763908593.8471
117,True,NOK,1763908598.838808
117,True,NOK,1763908598.976555
118,True,NOK,1763908603.963899
118,False,OK,1763908604.1406522
119,True,NOK,1763908611.1843078
119,False,OK,1763908611.3161712
120,False,OK,1763908617.8655877
120,False,OK,1763908618.165485
121,True,NOK,1763908623.939126
121,False,OK,1763908624.1104584
122,True,NOK,1763908632.510501
122,True,NOK,1763908632.618809
123,False,OK,1763908638.4825969
123,True,NOK,1763908638.635052
124,True,NOK,1763908648.558858
124,False,OK,1763908648.9913654
125,False,OK,1763908656.6798139
125,False,OK,1763908656.8218343
126,False,OK,1763908664.593527
126,False,OK,1763908665.0447886
127,True,NOK,1763908674.6965284
127,True,NOK,1763908675.0726316
128,False,OK,1763908683.3782437
128,False,OK,1763908683.4828916
129,False,OK,1763908689.99446
129,False,OK,1763908690.1270602
130,False,OK,1763908698.2714827
130,False,OK,1763908698.7263324
131,False,OK,1763908707.9697444
131,False,OK,1763908708.1574552
132,True,NOK,1763908716.3587217
132,False,OK,1763908716.8376436
133,False,OK,1763908728.4811006
133,False,OK,1763908728.9841304
134,False,OK,1763908738.4309387
134,False,OK,1763908738.830415
135,False,OK,1763908748.816272
135,True,NOK,1763908748.9632525
136,False,OK,1763908756.6833014
136,True,NOK,1763908756.8138335
137,False,OK,1763908767.4215808
137,False,OK,1763908767.8343716
138,True,NOK,1763908774.6695352
138,False,OK,1763908775.0272665
139,True,NOK,1763908784.1857665
139,True,NOK,1763908784.2625782
140,False,OK,1763908792.1406586
140,False,OK,1763908792.4024897
141,False,OK,1763908799.138905
141,False,OK,1763908799.682912
142,False,OK,1763908813.4060469
142,False,OK,1763908813.72752
143,False,OK,1763908823.184651
143,False,OK,1763908823.5615866
144,True,NOK,1763908835.4034657
144,False,OK,1763908835.458035
145,False,OK,1763908843.6088874
145,True,NOK,1763908843.7269347
146,False,OK,1763908853.0876718
146,False,OK,1763908853.5520349
147,False,OK,1763908868.0784512
147,False,OK,1763908869.0469542
148,False,OK,1763908881.590151
148,False,OK,1763908881.6925015
149,False,OK,1763908887.302321
149,False,OK,1763908887.449711
150,False,OK,1763908891.227406
150,False,OK,1763908891.3745236
151,False,OK,1763908896.2862806
151,False,OK,1763908896.424292
152,False,OK,1763908903.763054
152,False,OK,1763908903.9630668
153,False,OK,1763908909.4655552
153,False,OK,1763908909.555083
154,False,OK,1763908912.952718
154,False,OK,1763908913.718435
154,False,OK,1763908913.8682027
154,False,OK,1763908918.3953369
154,False,OK,1763908921.0919147
